Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
High income: nonOECD,NOC,,,,,,,,,736.5278748,802.8434737,882.7631104,1039.331799,1237.582916,1621.569345,2988.700081,3049.500157,3729.896063,4237.327395,4536.066087,5885.206435,7778.103363,8288.02286,7413.095205,6731.272302,6675.340605,6312.133698,5987.896909,6724.515589,7237.376012,8166.615246,9037.626042,9586.371326,10851.59164,11272.28641,12024.91395,12681.95694,13613.33355,14207.45922,13144.4491,13619.60858,14950.50068,14204.35291,14391.19113,15277.19831,17003.82454,19210.74797,21009.71014,22789.02792,25462.14743,21913.88605,24543.01126
High income: OECD,OEC,1429.219464,1490.061172,1589.783635,1691.932241,1826.759912,1962.245576,2130.894672,2264.482664,2431.311179,2637.880616,2840.03335,3119.094638,3590.959975,4307.474343,4767.753406,5305.554643,5719.440936,6426.456759,7662.959767,8743.147187,9612.774786,9650.563742,9534.585305,9830.916818,10213.1857,10699.01698,13012.40456,14961.3339,16752.3512,17376.96825,19362.00612,20283.89575,21596.45477,21607.09785,23006.77594,25266.8969,25210.63801,24602.87669,24605.97102,25728.52847,25993.30892,25630.90725,26589.27108,29683.00409,32754.41032,34222.9017,35776.24559,38858.68059,40848.72845,38160.80263,39511.67534
Latin America & Caribbean (all income levels),LCN,369.6181797,381.4949035,426.7612495,416.4621015,450.8684253,469.3315429,502.0731302,501.4407841,527.507041,575.271522,611.2980936,666.6282268,731.663613,936.0998628,1183.849451,1212.652016,1317.076827,1415.604608,1570.241045,1827.309483,2127.224169,2394.47407,2194.531808,1906.893892,1844.443689,1858.6795,1856.424411,1916.970042,2134.615373,2292.523237,2622.795713,2736.194986,2914.580687,3118.120829,3661.828702,3797.451577,4031.766288,4326.306526,4271.468567,3763.599685,4117.962927,3957.90601,3507.091003,3710.753661,4215.733201,5024.90486,5821.355918,6774.004634,7772.527051,7197.548412,8795.690304
Latin America & Caribbean (developing only),LAC,364.0896384,375.1126851,420.3142428,408.6456058,442.6153818,460.0984765,492.3446963,489.9938083,514.7469114,561.3032833,595.9318342,649.839501,713.0825459,917.5099434,1164.644908,1191.576,1295.274179,1390.665549,1542.601491,1794.946488,2089.091205,2354.412106,2147.298709,1855.623022,1787.715568,1800.757383,1801.266867,1857.982276,2074.217852,2229.594776,2557.370686,2668.996798,2845.267811,3049.044206,3592.489833,3723.208747,3954.360117,4244.274049,4177.979129,3655.634296,4004.014391,3827.78828,3368.512471,3565.413854,4065.20603,4869.627244,5663.655378,6615.339576,7605.184477,7037.873221,8646.675919
Least developed countries: UN classification,LDC,104.6907017,106.315296,112.3734855,129.440358,110.6245958,125.7463791,134.8644345,133.2945901,135.8934411,147.5737875,149.204665,153.3191088,145.8274859,174.9933705,216.4911747,264.7124676,223.3615327,242.7334173,282.035613,303.2197453,310.2162205,303.4963448,295.6448424,269.0516889,263.4458287,277.9023268,293.5343647,314.9318835,313.4219655,308.9405969,312.4452675,313.1163579,269.1100626,262.4396014,241.0386752,267.0764998,277.4775833,281.0685712,271.5778445,269.2812876,274.1882419,272.6874465,286.2338255,322.0842102,370.0370016,425.7057232,484.2030814,574.6849948,687.4571798,659.5538795,736.3993059
Low & middle income,LMY,152.6006432,136.4543358,138.1512031,144.2619159,155.994187,180.0072181,182.15693,182.4339062,188.5321624,205.8897493,219.9190811,232.2849065,253.9212096,315.392393,390.9273654,418.644637,443.8260573,490.8653438,524.2987716,611.4932508,699.662205,738.584827,715.2784028,684.7899665,680.7468762,701.4924819,717.6236212,724.442242,766.9491938,800.481153,857.6808763,853.0014639,874.2534176,893.01143,966.7877014,1060.473089,1136.371026,1182.721138,1126.055728,1079.643879,1161.590986,1156.324857,1163.791967,1312.689322,1538.40709,1805.256604,2117.359939,2587.10097,3058.609693,2931.187549,3491.022977
Low income,LIC,95.9148574,97.03710921,102.7449696,119.3667261,100.8053168,113.8858236,122.1250588,120.462903,122.2890129,133.0961994,135.3681488,141.1843288,134.947088,161.1197766,198.6525173,243.9016976,198.708355,216.4669799,252.569849,274.3510962,290.9172675,281.875167,276.8413342,252.9810849,241.028367,245.1425025,258.6775925,267.3786072,281.1585373,275.2247881,286.2270411,283.2348733,254.3314344,241.0835119,221.6820234,246.7517714,268.636148,272.7070581,272.1531448,263.7454267,257.5611606,254.0062772,260.1608136,280.3954413,307.8037582,333.5517535,358.3959298,410.7705298,478.5644221,493.083799,525.8419963
Lower middle income,LMC,96.13523354,82.95663994,79.50702007,85.46791594,94.64198528,126.6157208,110.6666247,114.8080092,120.6788003,131.3403172,141.303311,144.4035059,154.5107646,179.7012868,227.1381747,241.749375,267.0674056,300.9261149,329.1602557,371.410185,450.0555104,450.8651599,447.060454,429.3644924,418.7270475,427.4137921,430.6640341,462.7341212,472.4150976,471.5056169,492.3604608,463.7904732,477.8041573,471.5328207,503.1009004,550.5534525,590.1331704,597.8864753,528.406394,568.0777336,593.8652299,588.6328495,619.9313606,699.5888316,790.0244604,897.5150951,1049.667024,1276.119026,1411.376684,1410.19428,1687.352564
Middle East & North Africa (all income levels),MEA,,,,,,,,,292.1896202,316.4058296,339.7420529,386.134149,462.5554759,603.6477294,1069.385419,1144.210895,1373.959347,1549.918075,1606.339225,2030.686243,2504.463745,2514.601621,2417.046075,2367.00064,2322.750303,2284.482436,2245.807581,2004.221319,1904.947561,1924.47753,2075.14616,2024.625743,2167.083008,2134.320676,2170.880323,2393.964904,2645.693076,2696.522716,2587.37891,2720.318171,3002.146522,2918.743245,2860.191508,3142.669348,3567.907938,4167.510626,4788.515412,5488.199026,6713.185412,5812.935441,6579.60022
Middle East & North Africa (developing only),MNA,,,,,,168.0921043,169.326815,176.8099124,191.3682059,208.6076564,222.9960422,249.0214237,293.5920415,377.0433037,559.5986798,636.8913486,750.49163,847.8090406,892.8837696,1070.10282,1204.305544,1138.659005,1254.217107,1362.072201,1395.055409,1465.611564,1558.811832,1282.822243,1161.992448,1136.573735,1181.422384,1071.546737,1133.746062,1123.511303,1123.141892,1253.726042,1413.500493,1433.011687,1446.476929,1501.977938,1562.697111,1546.191752,1487.78001,1626.219705,1841.84927,2089.371269,2403.12129,2873.692045,3506.564672,3261.787502,3630.380493
