Italy,ITA,60917978
Jamaica,JAM,2712100
Jordan,JOR,6318000
Japan,JPN,127561489
Kazakhstan,KAZ,16797459
Kenya,KEN,43178141
Kyrgyz Republic,KGZ,5582100
Cambodia,KHM,14864646
Kiribati,KIR,100786
St. Kitts and Nevis,KNA,53584
"Korea, Rep.",KOR,50004000
Kosovo,KSV,1806366
Kuwait,KWT,3250496
Latin America & Caribbean (developing only),LAC,581383555
Lao PDR,LAO,6645827
Lebanon,LBN,4424888
Liberia,LBR,4190435
Libya,LBY,6154623
St. Lucia,LCA,180870
Latin America & Caribbean (all income levels),LCN,608565574
Least developed countries: UN classification,LDC,878193577
Low income,LIC,846454901
Liechtenstein,LIE,36656
Sri Lanka,LKA,20328000
Lower middle income,LMC,2507011903
Low & middle income,LMY,5744261290
Lesotho,LSO,2051545
Lithuania,LTU,2985509
Luxembourg,LUX,531441
Latvia,LVA,2025473
"Macao SAR, China",MAC,556783
St. Martin (French part),MAF,30959
Morocco,MAR,32521143
Monaco,MCO,37579
Moldova,MDA,3559541
Madagascar,MDG,22293914
Maldives,MDV,338442
Middle East & North Africa (all income levels),MEA,395313211
Mexico,MEX,120847477
Marshall Islands,MHL,52555
Middle income,MIC,4897806389
"Macedonia, FYR",MKD,2105575
Mali,MLI,14853572
Malta,MLT,418366
Myanmar,MMR,52797319
Middle East & North Africa (developing only),MNA,339560601
Montenegro,MNE,621081
Mongolia,MNG,2796484
Northern Mariana Islands,MNP,53305
Mozambique,MOZ,25203395
Mauritania,MRT,3796141
Mauritius,MUS,1291456
Malawi,MWI,15906483
Malaysia,MYS,29239927
North America,NAC,348859337
Namibia,NAM,2259393
New Caledonia,NCL,258121
Niger,NER,17157042
Nigeria,NGA,168833776
Nicaragua,NIC,5991733
Netherlands,NLD,16767705
High income: nonOECD,NOC,250285771
Norway,NOR,5018869
Nepal,NPL,27474377
New Zealand,NZL,4433100
High income: OECD,OEC,1051821752
OECD members,OED,1256610112
Oman,OMN,3314001
Other small states,OSS,19919956.91
Pakistan,PAK,179160111
Panama,PAN,3802281
Peru,PER,29987800
Philippines,PHL,96706764
Palau,PLW,20754
Papua New Guinea,PNG,7167010
Poland,POL,38542737
Puerto Rico,PRI,3667084
"Korea, Dem. Rep.",PRK,24763188
Portugal,PRT,10526703
Paraguay,PRY,6687361
Pacific island small states,PSS,2252782
French Polynesia,PYF,273814
Qatar,QAT,2050514
Romania,ROU,21326905
Russian Federation,RUS,143533000
Rwanda,RWA,11457801
South Asia,SAS,1649249388
Saudi Arabia,SAU,28287855
Sudan,SDN,37195349
Senegal,SEN,13726021
Singapore,SGP,5312400
Solomon Islands,SLB,549598
Sierra Leone,SLE,5978727
El Salvador,SLV,6297394
San Marino,SMR,31247
Somalia,SOM,10195134
Serbia,SRB,7223887
Sub-Saharan Africa (developing only),SSA,910389858.5
South Sudan,SSD,10837527
Sub-Saharan Africa (all income levels),SSF,911126154.5
Small states,SST,29141491.91
Sao Tome and Principe,STP,188098
Suriname,SUR,534541
Slovak Republic,SVK,5410267
Slovenia,SVN,2058152
Sweden,SWE,9516617
Swaziland,SWZ,1230985
Sint Maarten (Dutch part),SXM,39088
Seychelles,SYC,87784.90752
Syrian Arab Republic,SYR,22399254
Turks and Caicos Islands,TCA,32427
Chad,TCD,12448175
Togo,TGO,6642928
Thailand,THA,66785001
Tajikistan,TJK,8008990
Turkmenistan,TKM,5172931
Timor-Leste,TLS,1210233
Tonga,TON,104941
Trinidad and Tobago,TTO,1337439
Tunisia,TUN,10777500
Turkey,TUR,73997128
Tuvalu,TUV,9860
Tanzania,TZA,47783107
Uganda,UGA,36345860
Ukraine,UKR,45593300
Upper middle income,UMC,2390794486
Uruguay,URY,3395253
United States,USA,313914040
Uzbekistan,UZB,29776850
St. Vincent and the Grenadines,VCT,109373
"Venezuela, RB",VEN,29954782
Virgin Islands (U.S.),VIR,105275
Vietnam,VNM,88775500
Vanuatu,VUT,247262
West Bank and Gaza,PSE,4046901
World,WLD,7046368813
Samoa,WSM,188889
"Yemen, Rep.",YEM,23852409
South Africa,ZAF,51189306.61
"Congo, Dem. Rep.",COD,65705093
Zambia,ZMB,14075099
Zimbabwe,ZWE,13724317
