Series Code,Series Name,Country Code,Country Name,2007,2008,2009,2010,2011
XHH6_IDI,Percentage of households with Internet ,DNK,Denmark,78.05439698,81.88105945,82.53395844,86.1,90.08
XHH6_IDI,Percentage of households with Internet ,DJI,Djibouti,0.88,1.28,1.69,3.5,3.9
XHH6_IDI,Percentage of households with Internet ,DMA,Dominica,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,DOM,Dominican Rep.,5.7,7.7,9,10.2,11.8
XHH6_IDI,Percentage of households with Internet ,ECU,Ecuador,6.83,7.06,7.49,11.54,16.86
XHH6_IDI,Percentage of households with Internet ,EGY,Egypt,18.59,19.9,25.3,31.15,30.5
XHH6_IDI,Percentage of households with Internet ,SLV,El Salvador,3.059506125,4.532773493,6.4289442339,8.04,12
XHH6_IDI,Percentage of households with Internet ,GNQ,Equatorial Guinea,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,ERI,Eritrea,0.21,0.225992105,0.6,1.2,1.6000000238
XHH6_IDI,Percentage of households with Internet ,EST,Estonia,52.86828972,58.10445294,63.02086516,67.8,70.78
XHH6_IDI,Percentage of households with Internet ,ETH,Ethiopia,0.06,0.3,0.8,1.1,1.5
XHH6_IDI,Percentage of households with Internet ,FRO,Faroe Islands,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,FJI,Fiji,11.52,13.36764038,15.86,18.82,22.1406002045
XHH6_IDI,Percentage of households with Internet ,FIN,Finland,68.78373806,72.38052266,77.77599469,80.5,84.16
XHH6_IDI,Percentage of households with Internet ,FRA,France,49.17730815,62.31966323,63.00978073,73.6,75.92
XHH6_IDI,Percentage of households with Internet ,GUF,French Guiana,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,PYF,French Polynesia,..,..,..,..,..
XHH6_IDI,Percentage of households with Internet ,GAB,Gabon,3.555555556,4.148148148,5.29,6.02,6.9680514336
XHH6_IDI,Percentage of households with Internet ,GMB,Gambia,1.7,2,2.52,3.8,5.2312998772
