Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Azerbaijan,AZE,3894492,4026355,4163394,4302763,4440730,4574497,4702916,4826258,4944928,5059918,5171999,5281236,5387374,5490572,5591016,5688998,5786880,5882440,5976760,6075000,6166000,6265000,6362000,6461000,6563000,6669000,6779000,6893000,7004000,7085000,7159000,7271000,7382000,7495000,7597000,7685000,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9168000
"Bahamas, The",BHS,109527,115112,121090,127340,133709,140063,146379,152623,158644,164263,169367,173875,177849,181490,185091,188870,192885,197090,201474,205990,210600,215330,220188,225083,229899,234553,238989,243236,247409,251671,256128,260845,265761,270701,275426,279774,283677,287217,290571,293988,297651,301606,305801,310201,314739,319358,324066,328861,333661,338358,342877,347176
Bahrain,BHR,161825,167179,172294,177170,181833,186351,190734,195111,199818,205291,211878,219532,228255,238468,250683,265160,282245,301559,321751,340980,357957,372074,383785,394164,404829,416929,430845,446142,462184,477995,492891,506685,519696,532362,545329,559069,574914,592986,611237,626765,638193,642510,642070,647164,671760,724807,811410,925733,1052359,1169578,1261835,1323535
Bangladesh,BGD,50101943,51531438,52977254,54474293,56071080,57791778,59681186,61702785,63703327,65474474,66881158,67849312,68461849,68933357,69567500,70582168,72053923,73915723,76066342,78342736,80624423,82883616,85156396,87459802,89828434,92283598,94825499,97429290,100062322,102681627,105256026,107768749,110225555,112645460,115059015,117486952,119928682,122370403,124803351,127214841,129592275,131944584,134266428,136514768,138633401,140587922,142353501,143956805,145478300,147030145,148692131,150493658
Barbados,BRB,230831,231574,232490,233496,234455,235271,235912,236443,236974,237657,238593,239841,241345,242949,244433,245646,246523,247128,247589,248101,248796,249716,250809,252017,253244,254419,255532,256602,257621,258588,259501,260351,261136,261885,262637,263416,264237,265088,265941,266758,267511,268192,268813,269389,269947,270503,271062,271618,272180,272750,273331,273925
Belarus,BLR,8198000,8271216,8351928,8437232,8524224,8610000,8696496,8785648,8874552,8960304,9040000,9115576,9188968,9257272,9317584,9367000,9411000,9463000,9525000,9584000,9643000,9710000,9776000,9843000,9910000,9975000,10043000,10111000,10140000,10170000,10189000,10194000,10216000,10239000,10227000,10194000,10160000,10117000,10069000,10035000,10005000,9970260,9925000,9873968,9824469,9775591,9732500,9702000,9602000,9507000,9490000,9473000
Belgium,BEL,9153489,9183948,9220578,9289770,9378113,9463667,9527807,9580991,9618756,9646032,9655549,9673162,9711115,9741720,9772419,9800700,9818227,9830358,9839534,9848382,9859242,9858982,9856303,9855520,9855372,9858308,9861823,9870234,9901664,9937697,9967379,10004486,10045158,10084475,10115603,10136811,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895785,11008000
Belize,BLZ,91046,94241.9344,97670.7216,101193.2688,104595.088,107736,110643.5168,113333.1968,115787.2848,117995.3328,119972,121721.0832,123214.1568,124670.4704,126420.56,128673,131411.8848,134676.7264,138337.872,142162.1456,146000,149892.8368,153848.424,156986,161982.4064,166200,170400,175200,179800,183200,189000,194000,199000,205000,211000,216500,222000,230000,238500,243100,249800,257300,265200,273700,282600,291800,301386,311500,322100,333200,344700,356600
Benin,BEN,2419644,2451123,2485248,2521922,2561022,2602490,2646310,2692610,2741672,2793872,2849508,2908713,2971515,3037990,3108179,3182130,3259918,3341618,3427274,3516917,3610578,3708675,3811326,3917941,4027682,4140176,4254522,4371470,4494242,4627194,4773137,4934077,5108335,5290562,5473217,5651141,5821985,5988093,6154708,6329476,6517810,6721337,6937985,7164976,7397985,7633757,7871707,8112573,8355980,8601771,8849892,9099922
Bermuda,BMU,44400,45500,46600,47700,48900,50100,51000,52000,53000,54000,55000,54600,54200,53800,53400,53000,53200,53400,53600,53800,54000,54400,54800,55200,55600,56000,56900,57800,58700,59600,60500,61000,61000,61000,61300,61700,61800,61900,62000,62000,62100,62500,62800,63000,63300,63600,63800,64000,64200,64400,64237,64700
Bhutan,BTN,225993,232000,238201,244653,251419,258559,266072,274000,282495,291747,301879,312929,324815,337370,350365,363603,377068,390732,404375,417734,430633,442648,453793,464831,476846,490438,506423,524133,540918,553157,558500,555747,546356,533895,523417,518584,520529,528222,540507,555377,571262,588050,606024,624431,642400,659293,674681,688581,701363,713665,725940,738267
Bolivia,BOL,3354895,3430160,3507408,3586804,3668568,3752892,3839751,3929192,4021551,4117259,4216572,4319564,4426012,4535500,4647442,4761344,4877275,4995172,5114274,5233624,5352649,5471025,5589245,5708585,5830816,5957291,6088253,6223523,6363470,6508417,6658462,6813834,6974168,7138204,7304230,7470925,7637622,7804333,7971237,8138802,8307248,8476709,8646659,8815911,8982917,9146655,9306660,9463497,9618466,9773441,9929849,10088108
Bosnia and Herzegovina,BIH,3180020,3225391,3270585,3314827,3357005,3396402,3432671,3466307,3498470,3530780,3564389,3599885,3636930,3674638,3711662,3747109,3780559,3812557,3844329,3877598,3913536,3949509,3984259,4021590,4066739,4121595,4194370,4279632,4349682,4367069,4308197,4157485,3931372,3677379,3462032,3332098,3305672,3365616,3480285,3601438,3693698,3748370,3775883,3782717,3781358,3781001,3781588,3779034,3774164,3767683,3760149,3752228
Botswana,BWA,523997,536540,549953,564277,579518,595697,612903,631226,650676,671247,692959,715745,739683,765101,792432,821942,853774,887716,923234,959584,996211,1032889,1069707,1106802,1144442,1182803,1221790,1261235,1301146,1341540,1382371,1423570,1464924,1506037,1546414,1585637,1623704,1660538,1695587,1728179,1757925,1784449,1808103,1830127,1852243,1875673,1900905,1927540,1954822,1981576,2006945,2030738
