cc2,cc3,region,regionWB,regionITU,aggregate,country,countrywi,countryim_2014,countryim_2015,nri01_2015,nri02_2015,nri03_2015,nri04_2015,nri05_2015,nri06_2015,nri07_2015,nri08_2015,nri09_2015,nri10_2015,nri11_2015,nri12_2015,nri13_2015,nri14_2015,nri15_2015,nri16_2015,nri17_2015,nri18_2015,nri19_2015,nri20_2015,nri21_2015,nri22_2015,nri23_2015,nri24_2015,nri25_2015,nri26_2015,nri27_2015,nri28_2015,nri29_2015,nri30_2015,nri31_2015,nri32_2015,nri33_2015,nri34_2015,nri35_2015,nri36_2015,nri37_2015,nri38_2015,nri39_2015,nri40_2015,nri41_2015,nri42_2015,nri43_2015,nri44_2015,nri45_2015,nri46_2015,nri47_2015,nri48_2015,nri49_2015,nri50_2015,nri51_2015,nri52_2015,nri53_2015,nri54_2015,nri55_2015,nri56_2015,nri57_2015,nri58_2015,nri59_2015,nri60_2015,nri61_2015,nri62_2015,nri63_2015,nri64_2015,nri65_2015,nri66_2015,nri67_2015,nri68_2015,nri01_2014,nri02_2014,nri03_2014,nri04_2014,nri05_2014,nri06_2014,nri07_2014,nri08_2014,nri09_2014,nri10_2014,nri11_2014,nri12_2014,nri13_2014,nri14_2014,nri15_2014,nri16_2014,nri17_2014,nri18_2014,nri19_2014,nri20_2014,nri21_2014,nri22_2014,nri23_2014,nri24_2014,nri25_2014,nri26_2014,nri27_2014,nri28_2014,nri29_2014,nri30_2014,nri31_2014,nri32_2014,nri33_2014,nri34_2014,nri35_2014,nri36_2014,nri37_2014,nri38_2014,nri39_2014,nri40_2014,nri41_2014,nri42_2014,nri43_2014,nri44_2014,nri45_2014,nri46_2014,nri47_2014,nri48_2014,nri49_2014,nri50_2014,nri51_2014,nri52_2014,nri53_2014,nri54_2014,nri55_2014,nri56_2014,nri57_2014,nri58_2014,nri59_2014,nri60_2014,nri61_2014,nri62_2014,nri63_2014,nri64_2014,nri65_2014,nri66_2014,nri67_2014,nri68_2014,nri01_2013,nri02_2013,nri03_2013,nri04_2013,nri05_2013,nri06_2013,nri07_2013,nri08_2013,nri09_2013,nri10_2013,nri11_2013,nri12_2013,nri13_2013,nri14_2013,nri15_2013,nri16_2013,nri17_2013,nri18_2013,nri19_2013,nri20_2013,nri21_2013,nri22_2013,nri23_2013,nri24_2013,nri25_2013,nri26_2013,nri27_2013,nri28_2013,nri29_2013,nri30_2013,nri31_2013,nri32_2013,nri33_2013,nri34_2013,nri35_2013,nri36_2013,nri37_2013,nri38_2013,nri39_2013,nri40_2013,nri41_2013,nri42_2013,nri43_2013,nri44_2013,nri45_2013,nri46_2013,nri47_2013,nri48_2013,nri49_2013,nri50_2013,nri51_2013,nri52_2013,nri53_2013,nri54_2013,nri55_2013,nri56_2013,nri57_2013,nri58_2013,nri59_2013,nri60_2013,nri61_2013,nri62_2013,nri63_2013,nri64_2013,nri65_2013,nri66_2013,nri67_2013,nri68_2013,nri01_2012,nri02_2012,nri03_2012,nri04_2012,nri05_2012,nri06_2012,nri07_2012,nri08_2012,nri09_2012,nri10_2012,nri11_2012,nri12_2012,nri13_2012,nri14_2012,nri15_2012,nri16_2012,nri17_2012,nri18_2012,nri19_2012,nri20_2012,nri21_2012,nri22_2012,nri23_2012,nri24_2012,nri25_2012,nri26_2012,nri27_2012,nri28_2012,nri29_2012,nri30_2012,nri31_2012,nri32_2012,nri33_2012,nri34_2012,nri35_2012,nri36_2012,nri37_2012,nri38_2012,nri39_2012,nri40_2012,nri41_2012,nri42_2012,nri43_2012,nri44_2012,nri45_2012,nri46_2012,nri47_2012,nri48_2012,nri49_2012,nri50_2012,nri51_2012,nri52_2012,nri53_2012,nri54_2012,nri55_2012,nri56_2012,nri57_2012,nri58_2012,nri59_2012,nri60_2012,nri61_2012,nri62_2012,nri63_2012,nri64_2012,nri65_2012,nri66_2012,nri67_2012,nri68_2012,wis1_2014,wis2_2014,wis3_2014,wis4_2014,wis5_2014,wis6_2014,wis7_2014,wis8_2014,wis9_2014,wis10_2014,wis11_2014,wis12_2014,wis13_2014,wip2_2014,wip3_2014,wip4_2014,wip5_2014,wip6_2014,wip7_2014,wip8_2014,wip9_2014,wip10_2014,odbc1_2013,odbi1_2013,odbi2_2013,odbi3_2013,odbi4_2013,odbi5_2013,odbi6_2013,aia13_2014,gdpcapppp_2012,gdpcapppp_2013,gdpcapppp_2014,mobilebb_2013,hhnet_2013,ipr_2013,bbsub_2013,speedkbps_2014,peakspeedkbps_2014,highbbrate_2014,bbrate_2014,downloadkbps_2014,uploadkbps_2014,rfactor_2014,edf_2014,edm_2014,litrate_2014,mobilebb_2014,hhnet_2014,ipr_2014,bbsub_2014,speedmbps_2015,peakspeedmbps_2015,bbrate_2015,highbbrate_2015,downloadmbps_2015,uploadmbps_2015,rfactor_2015,edf_2015,edm_2015,litrate_2015,bbcost1_2014,bbcost2_2014,bbcost3_2014,bbcost4_2014,bbcost5_2014,bbcost1n_2014,bbcost2n_2014,bbcost3n_2014,bbcost4n_2014,bbcost5n_2014,imindex_2014,imrank_2014,imadoption_2014,imspeed_2014,imbbcost_2014,imed_2014,wiscore_2014,wirank_2014,wiuniversalaccess_2014,wifreedom_2014,wirelevantcontent_2014,wiempowerment_2014,wiinfrastructure_2014,wiaccess_2014,wieducation_2014,wifreeopen_2014,wicontent_2014,wieconomic_2014,wipolitical_2014,wisocial_2014,downloadkbps_2015,uploadkbps_2015,speedkbps_2015,peakspeedkbps_2015,wieparticipation_2007,wieparticipation_2008,wieparticipation_2009,wieparticipation_2010,wieparticipation_2011,wieparticipation_2012,wieparticipation_2013,wigos_2007,wigos_2008,wigos_2009,wigos_2010,wigos_2011,wigos_2012,wigos_2013,fhcivil_2007,fhcivil_2008,fhcivil_2009,fhcivil_2010,fhcivil_2011,fhcivil_2012,fhcivil_2013,fhpolitical_2007,fhpolitical_2008,fhpolitical_2009,fhpolitical_2010,fhpolitical_2011,fhpolitical_2012,fhpolitical_2013,fhpress_2007,fhpress_2008,fhpress_2009,fhpress_2010,fhpress_2011,fhpress_2012,fhpress_2013,pressfreedom_2007,pressfreedom_2008,pressfreedom_2009,pressfreedom_2010,pressfreedom_2011,pressfreedom_2012,pressfreedom_2013,wbschoollifeexpfm_2007,wbschoollifeexpfm_2008,wbschoollifeexpfm_2009,wbschoollifeexpfm_2010,wbschoollifeexpfm_2011,wbschoollifeexpfm_2012,wbschoollifeexpfm_2013,wbtertiaryenrollfm_2007,wbtertiaryenrollfm_2008,wbtertiaryenrollfm_2009,wbtertiaryenrollfm_2010,wbtertiaryenrollfm_2011,wbtertiaryenrollfm_2012,wbtertiaryenrollfm_2013,secondenroll_2007,secondenroll_2008,secondenroll_2009,secondenroll_2010,secondenroll_2011,secondenroll_2012,secondenroll_2013,mbbmonthsubpergdpc_2007,mbbmonthsubpergdpc_2008,mbbmonthsubpergdpc_2009,mbbmonthsubpergdpc_2010,mbbmonthsubpergdpc_2011,mbbmonthsubpergdpc_2012,mbbmonthsubpergdpc_2013,ixp_2007,ixp_2008,ixp_2009,ixp_2010,ixp_2011,ixp_2012,ixp_2013,secservpermillion_2007,secservpermillion_2008,secservpermillion_2009,secservpermillion_2010,secservpermillion_2011,secservpermillion_2012,secservpermillion_2013,pop_2011,pop_2012,pop_2013,pop_2014,gdpcapus_2011,gdpcapus_2012,gdpcapus_2013,gdpcapus_2014,bbcost1_2015,bbcost2_2015,bbcost3_2015,bbcost4_2015,bbcost5_2015,bbcost1n_2015,bbcost2n_2015,bbcost3n_2015,bbcost4n_2015,bbcost5n_2015,bbcostindex_2015,bbcostindexold_2014,bbcostindex_2014
"KI","KIR",,"EAS","AAP",,"Kiribati","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1704.66,1749.91,1797.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104662,106620,108544,110470,1645.87,1641.2,1556.46,1509.57,,,,,,,,,,,,,
"KN","KNA",,"LCN","AMS",,"Saint Kitts and Nevis","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20433.2,21259.9,22669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52998,53650,54301,54944,13737.3,13642.5,14255.2,15167,,,,,,,,,,,,,
"KR","KOR",,"EAS","AAP",,"Korea, Republic of","Republic Of Korea","South Korea","South Korea",2.89164,5.20668,3.50549,3.48844,2.75075,3.70518,38,32,230,5.74138,2.21796,32.4,4,3,5.89116,98.37919,4.2131,4.13876,10567.2,99.9,30.30552,1994.896,.1384269,34.9563,1.764706,3.61523,4.69639,97.19713,,110.998,84.77,80.6,98.14,38.0351,105.338,5.96731,5.44557,4.69603,219.9999,5.60832,5.97018,4.21767,4.96484,.97637,5.31146,5.475,105.7154,5.06295,21.41945,5.57756,6.24575,5.26573,1,4.63808,4.12789,5.14827,5.98835,6.63062,5.815634,5.5188,5.8567,6.42887,5.4297,5.71151,5.60311,5.18396,6.02226,5.52156,2.82836,5.33937,3.54187,3.52834,3.04926,4.02528,40,33,230,5.93443,2.13196,27.9,5.5,5,5.88604,100.8,4.45028,3.97116,10567.3,99.9,25.815,2751.56,.1437894,36.3114,1.75,3.8157,5.0992,96.72966,,109.43,84.1,82.3,97.4,37.247,105.14,5.8662,5.70856,4.54862,198.3526,5.83504,6.17329,4.21206,5.12205,1,5.44097,5.69653,87.76494,5.08587,21.54158,5.70629,6.10714,5.52771,1,4.68401,4.18148,5.18654,5.93354,6.41638,5.724486,5.65976,5.88548,6.31729,5.4848,5.85434,5.6668,5.24832,6.08528,5.54246,2.752,5.36088,3.6834,3.57688,3.23727,4.33108,40,33,230,6.10323,2.18879,29.8,7,5,5.74556,103.1111,4.65183,3.99943,9674.96,99.9,17.17015,2496.133,.3286815,36.52017,1.764706,4.14196,5.54837,97.08053,,108.505,83.8,81.9,97.2,36.9054,105.0523,5.97669,5.99703,4.49633,172.1478,5.862836,6.274415,4.26044,5.15092,1,5.507099,5.80755,73.47695,4.96329,22.43712,5.88141,6.19252,5.66934,1,4.69632,4.25444,5.13821,5.5595,6.13301,4.877895,5.66758,5.85926,6.38529,5.30648,5.88601,5.71201,5.2382,6.18582,5.45677,2.42392,5.3105,3.75565,3.38991,3.06153,4.07185,40,33,230,6.11119,2.19165,29.7,7,5,5.64626,103.8725,4.496,4.12874,9239.736,99.9,11.8784,1140.44,.348101,33.90359,1.764706,3.93032,5.23844,97.05115,,105.362,83.7,81.8,96.8,35.6835,78.04,5.80768,6.03512,4.33152,160.8785,,,4.27833,4.99415,1,,5.93876,68.38799,5.13126,22.43712,5.9703,6.18101,5.68456,1,4.63296,4.1435,5.12242,5.6389,5.97637,5.224259,5.71608,5.84373,6.27411,5.36034,5.89673,5.76098,5.313,6.20897,5.46914,8,8,9,9,6,10,8,7,5,5,6,7,4,9,8,5,8,8,6,4,7,7,8,4,3,2,0,2,5,10,32021.7,33089.1,34355.7,106.038,97.4,84.1,35.6835,22100,63600,70,93,51894,44879,90.1801,79.4,91.7,98,105.338,98.5,84.33,38.78,23.6,79,96,77,59.47,50.79,,77,89.1,97.9,,,.02,,.01,,,.14,,.02,9.06,1,.9,.92,.92,.89,92.8071,8,95.92,74.8962,96.5763,82.1437,100,100,45.2824,74.8962,96.5763,69.7402,89.6573,78.6689,59470,50790,23600,79000,.97727,.988635,1,1,1,1,1,.82274,.91137,1,1,1,.988185,.97637,2,2,2,2,2,2,2,1,1,1,1,1,1,2,30,30,30,32,32,31,32,9,15.67,13.33,12.67,24.48,24.48,25.66,.98902,.99073,.99023,.98931,.98852,.98943,.98943,67.617,69.678,71.682,73.861,74.565,74.951,74.951,96.1942,96.4491,97.1367,97.1094,96.7297,97.1971,97.1971,.012075,.011869,.012859,.01272,.011989,.011006,.010463,1,1,1,1,1,1,1,497.493,690.846,918.465,1128.08,2496.11,2751.54,1994.9,5.0e+07,5.0e+07,5.0e+07,5.0e+07,24155.8,24454,25997.9,27970.5,,,,,.01,,,,,.06,.94,.92,.92
"","KSV",,"ECS","",,"Kosovo","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8537.35,8898.26,9228.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8e+06,1.8e+06,1.8e+06,1.8e+06,3738.78,3600.89,3890.3,3989.72,,,,,,,,,,,,,
"KW","KWT",,"MEA","ARS",,"Kuwait","","","Kuwait",3.61558,2.79267,4.86288,3.72247,3.70659,3.46229,58,50,566,4.89878,2.69714,12.8,31,12,4.50867,40.7,3.91235,2.92308,18388,100,9.835068,184.9448,.2500215,22.37385,.25,3.07577,3.42722,100.3352,96.27382,190.288,75.46,83.9,71.1,1.39525,,5.82028,4.7403,3.00498,.3717381,4.66435,4.39612,3.70733,2.94579,.5748,3.28071,3.3375,.115367,3.37507,18.69615,3.76642,4.05837,3.4947,.43137,3.94791,3.61007,4.28575,4.83264,4.63961,4.816023,5.04229,4.05891,5.21949,3.3988,3.55843,3.19232,2.65771,3.72693,4.00795,3.31592,2.71371,4.95499,3.77914,3.75039,3.79108,59,50,566,5.04834,2.60951,12.4,32,12,4.50722,22.30059,3.89164,2.94216,18388,100,5.4442,179.0496,.1361194,21.36676,.25,3.14973,3.59946,100.9579,93.9062,156.9,79.178,75,65.15,1.4459,,6.03987,4.89573,2.64164,.2800264,4.93176,4.52312,3.73478,3.0522,.5817,3.26475,3.31726,.2000189,3.06684,18.69739,4.03018,4.36226,3.51974,.1842,3.84999,3.61472,4.08527,4.95425,4.65053,5.180868,5.03136,4.00436,5.00908,3.4016,3.60238,3.04089,2.57744,3.50435,3.96237,3.32853,2.85112,4.91172,3.95191,3.68946,4.0464,59,50,566,5.04656,2.97424,10.7,32,12,4.69538,21.86206,3.72229,2.94299,20109.7,100,5.951129,179.2024,.1358833,21.33052,.2307692,3.12117,3.43894,100.9579,93.9062,175.092,74.2,69,57.7,1.68084,,5.68174,5.23059,2.64281,.2192396,4.916667,4.8,3.6938,3.18221,.5817,3.216216,3.52528,.0913498,3.10559,18.69739,4.03932,4.24748,3.49387,.1842,3.90042,3.67443,4.12641,4.8689,4.64031,5.178727,4.78767,3.93588,4.82503,3.35306,3.62954,3.03769,2.60391,3.47147,3.93572,3.54021,3.19947,5.12881,4.15085,3.91763,3.85162,60,50,566,5.19783,3.42047,15.5,32,12,4.6954,21.86206,3.70019,3.30323,20306.86,100,9.55292,138.8517,.1350365,14.89051,.2307692,3.11049,3.47241,100.9579,93.9062,160.776,38.25,37.53,31.61,1.68084,5.88,5.37595,5.40867,2.75094,.3589937,,,3.52743,3.24006,.4603,,3.62894,.2834161,3.50262,18.69739,4.14258,4.20434,3.68861,.2286,3.99097,3.8094,4.17254,5.08963,4.9296,5.317366,5.02191,3.54969,3.5511,3.47164,3.62632,3.16791,2.73403,3.60178,3.94955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78454.1,76886.1,,,,,,,,,,,,,,,,,62,78.7,1.38,,,,,9.88,8.95,,55.6,56.3,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9880,8950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2e+06,3.4e+06,3.6e+06,3.8e+06,47553.7,50896.5,48926.5,,,,,,,,,,,,,,
"","LAC",,"","",1,"Latin America & Caribbean (developing only)","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13573.1,13976.9,14362.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1e+08,5.1e+08,5.2e+08,5.3e+08,9364.41,9067.38,9172.86,9071.17,,,,,,,,,,,,,
"","LAC-UN",1,"","",1,"Latin America and the Caribbean","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.8,51.1,,,,,,,,,,,,,53.3,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LA","LAO",,"EAS","AAP",,"Lao People's Democratic Republic","","Laos","Laos",4.39344,3.82755,3.87946,4.28789,2.84216,3.60839,,42,443,4.08662,2.52529,25.8,92,6,5.07005,16.72537,4.14827,3.68221,567.411,96,10.57177,1.034015,.2955263,16.62335,.9090909,3.83471,3.87815,46.54073,79.8604,68.1359,12.5,9.6,5.1,.132945,2.50944,4.91982,4.30486,3.72953,.0188088,4.58708,4.1277,4.29964,4.19818,.14173,4.63991,4.17079,0,3.95542,,4.19531,3.80392,4.29537,.19607,3.91368,3.93537,3.89198,3.9833,2.82543,5.409552,3.71492,3.01308,1.93803,3.5384,3.56283,3.32991,3.04207,3.61775,3.55999,4.49361,4.00153,4.05605,4.47781,2.90335,3.77417,,42,443,4.15093,2.65981,26.8,92,6,5.18403,17.08848,4.12022,3.74823,242.819,72,9.397,.9028222,.209778,209.778,.9090909,3.96426,3.82106,46.54073,72.70226,64.702,10.748,8.68,5.0696,.11356,2.0637,4.93776,4.46608,3.77739,.0191679,4.52153,4.08364,4.15198,4.50692,.2157,4.58524,4.3461,0,4.19771,,4.15661,3.88201,4.37619,0,3.99168,4.05905,3.92431,3.02591,2.45906,3.10476,3.51391,3.06916,1.87232,3.53972,3.79545,3.26749,3.18127,3.3537,3.33856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4578.84,4960.97,5320.35,.768756,5.06957,10.7477,.255737,,,,,3777,5381,,22.9,36.8,73,2.50944,3.4,14.26,.16,,,,,6.36,7.53,,22.9,36.8,79.9,.38,1.14,.6,,,.56,.72,.66,,,2.14,79,.04,.06,.35,.4,,,,,,,,,,,,,,,6360,7530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4e+06,6.5e+06,6.6e+06,6.7e+06,1300.98,1445.87,1700.54,1759.78,.15,.45,.46,,,.39,.59,.63,,,.28,.35,.21
"LB","LBN",,"MEA","ARS",,"Lebanon","","","Lebanon",1.80642,2.03655,2.05747,2.50103,2.13989,2.23631,71,37,721,4.33662,2.7634,29.9,9,5,5.51593,46.26451,5.27525,2.00676,3733.92,99.11,15.44349,42.97812,.6850137,30.29358,.5454546,4.55149,5.66206,73.98306,93.94225,80.5637,70.5,87.9,66.2,9.95444,41.8249,5.80025,4.309,3.97865,1.824546,3.67087,3.14971,3.46405,2.39088,.35433,2.78722,3.25993,.9133941,2.8648,31.84907,2.78588,3.71962,2.44959,.29411,3.53453,2.50038,4.56868,4.14789,3.6641,3.429688,5.34989,3.55348,4.64907,3.24335,2.76803,2.90368,2.87743,2.92994,3.5349,2.08459,2.01661,2.31347,2.71679,2.26722,2.40593,71,37,721,4.63448,2.7206,30.2,9,5,5.53693,46.26451,5.40597,2.16148,3733.92,99.11,18.445,48.5888,.3431137,26.0671,.5454546,5.16222,5.82404,73.98306,89.61244,80.807,61.25,79.68,63.979,9.705,28.25,5.66559,4.493,3.35891,1.506343,3.74757,2.98535,3.6894,2.21979,.4771,2.70029,3.38085,.5704129,2.9303,31.85247,2.65513,3.39086,2.31713,.3158,3.62839,2.62258,4.63421,4.63174,3.86235,4.622344,5.41052,3.44883,4.22835,3.19059,2.92756,2.86563,2.91678,2.81448,3.64365,2.30322,2.0668,2.38885,3.06414,2.7347,2.60689,71,37,721,4.85919,2.72099,30.2,9,5,5.37465,57.65213,5.39068,2.25743,3281.16,97,2.257448,41.08555,.5393389,26.36748,.5454546,5.29086,5.8876,83.26888,89.61244,78.6495,52,71.5,61.8,5.16504,.0234775,5.55628,4.75666,2.58486,1.299004,4.032659,3.127188,3.62177,2.10089,.4771,2.727192,3.27769,.3883215,2.88627,31.85247,2.71136,3.48846,2.34405,.3158,3.74379,2.75866,4.72891,4.29455,3.26993,4.119622,5.49409,3.20805,3.7026,3.02465,2.89689,2.85581,2.85195,2.85967,3.52555,2.25274,2.21974,2.48746,3.00507,2.52535,2.67502,72,37,721,4.80039,2.69863,30.2,9,5,5.43318,54.02364,5.25585,2.32721,2550.088,95,1.90759,28.62146,.5395615,34.45707,.6666667,5.1284,5.71189,81.42778,89.61244,68,31,31.68,29.71,4.73082,,5.76192,4.80504,2.58872,.8915119,,,3.56795,2.15647,.2667,,3.56251,.3951244,3.07821,31.85247,3.07801,3.77108,2.53189,.2714,3.6413,2.77991,4.50268,4.30995,3.2192,4.063027,5.64763,3.01787,3.25342,3.33387,2.46632,2.98693,2.97152,3.00235,3.48901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16871.1,17073.9,17462.2,,,,,,,,,,,,,,,41.8249,61.8,74.7,22.8,,,,,3.47,1.53,,38.8,38.9,89.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3470,1530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4e+06,4.4e+06,4.5e+06,4.5e+06,9132.43,9729.28,9870.49,10057.9,,,,,,,,,,,,,
"LR","LBR",,"SSF","AFR",,"Liberia","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57201,3.34998,3.42727,3.76807,3.65401,3.71448,,40,1280,3.5869,2.71531,26.6,4.5,4,4.56727,19.40065,3.53727,3.79999,87.6633,16.35,2.0064,1.193194,.0032235,,1.75,3.38843,2.91871,45.15679,60.77754,57.121,3.7941,2.01,1.5483,.002386,.027897,4.63744,3.75494,3.51164,0,3.85484,3.29917,3.67269,3.76467,.1895,3.8323,3.39325,0,3.42764,9.349221,3.47007,2.60166,3.60695,.0263,3.80237,3.45144,4.1533,3.69927,1.56643,6.78125,2.75013,2.68015,1.69255,3.10325,3.24465,2.57151,2.43389,2.70912,3.18832,4.21616,3.95019,4.17311,4.24062,4.1996,4.56674,,40,1280,3.95064,3.39956,27.4,6,4,4.56279,19.07806,4.21292,4.06726,87.3322,.77,.6136101,1.211072,.0042618,,1.75,3.95338,3.71183,44.80356,60.77754,49.1678,3,1,,.001526,.0055467,4.8626,4.52477,3.63806,0,4.198687,3.89591,3.99569,4.38809,.1895,4.245704,3.53293,0,3.72028,,3.92058,3.16866,4.05682,.0263,4.17279,4.01003,4.33555,3.92577,1.57319,6.78125,3.42288,2.92759,1.74346,3.44904,3.59027,2.91352,2.75107,3.07597,3.48492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.152,844.244,840.703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1e+06,4.2e+06,4.3e+06,4.4e+06,378.814,414.185,453.339,461.043,,,,,,,,,,,,,
