Series Code,Series Name,Country Code,Country Name,2007,2008,2009,2010
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BEL,Belgium,..,29.28257687,27.77777778,25.03311258
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BLZ,Belize,..,98.45,60.5,100.6875
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BEN,Benin,..,100.4901687,112.4556848,50.47680389
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BMU,Bermuda,..,..,..,..
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BTN,Bhutan,..,22.98586369,9.895671935,10.47544067
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BOL,Bolivia,..,33.84912959,34.9002849,34.91684802
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BIH,Bosnia and Herzegovina,..,14.23220974,17.75568182,13.46648612
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BWA,Botswana,..,27.39124066,27.81271838,29.29055049
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BRA,Brazil,..,42.78080698,39.24962481,31.21091529
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BRN,Brunei Darussalam,..,..,115.4639175,49.85337243
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BGR,Bulgaria,27.28385991,14.95886313,14.21464108,13.54096141
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BFA,Burkina Faso,..,1786.491888,87.21563113,83.14942951
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",BDI,Burundi,..,..,..,..
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",KHM,Cambodia,..,99.12731829,98.12868266,45
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CMR,Cameroon,..,176.416074,84.71238029,80.76288622
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CAN,Canada,..,21.18088097,23.63079615,26.22330097
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CPV,Cape Verde,..,38.19126184,33.32199504,31.76833736
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CYM,Cayman Islands,..,..,..,..
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CAF,Central African Rep.,..,1339.868916,1270.685704,603.7025745
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",TCD,Chad,..,13.17537768,12.49507609,11.91252572
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CHL,Chile,..,47.83132138,46.35737974,39.17695086
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CHN,China,..,18.70772773,17.56697409,17.72525849
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",COL,Colombia,..,33.89727145,30.78286313,35.28445093
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",COM,Comoros,..,431.7352183,409.4425933,390.3536874
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",COG,Congo,..,..,..,180.0507595
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",ZAR,Congo (Democratic Republic of the),..,..,..,..
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CRI,Costa Rica,..,21.46945477,21.47088374,14.68918603
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CIV,Cote d'Ivoire,..,44.66229721,42.35619015,40.38144311
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",HRV,Croatia,..,20.06079027,18.88720666,18.15205529
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CUB,Cuba,..,1760.449293,1760.449293,1760.449293
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CYP,Cyprus,..,41.72767204,36.73611111,35.03311258
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",CZE,Czech Republic,23.4062788,27.82333646,39.34323034,31.41690229
I4213BS$,"Fixed (wired)-broadband monthly subscription charge, in USD ",PRK,Dem. People's Rep. of Korea,..,..,..,..
